_id,spending_behavior,full_name,email,ssn,ip_address,gender,date_of_birth,zip_code,annual_income,credit_history_months,debt_to_income,savings_balance,loan_approved,rejection_reason,interest_rate,approved_amount,total_spending,age
app_200,"[{'category': 'Shopping', 'amount': 480}, {'category': 'Rent', 'amount': 790}, {'category': 'Alcohol', 'amount': 247}]",Jerry Smith,jerry.smith17@hotmail.com,596-64-4340,192.168.48.155,Male,2001-09-03,10036,73000.0,23.0,0.2,31212.0,False,algorithm_risk_score,0.0,0.0,1517,24
app_246,"[{'category': 'Healthcare', 'amount': 478}]",Susan Rivera,susan.rivera74@gmail.com,176-97-1864,192.168.158.59,Female,1991-11-10,90223,82000.0,31.0,0.29,21809.0,True,,2.8,38000.0,478,34
app_042,"[{'category': 'Insurance', 'amount': 153}, {'category': 'Dining', 'amount': 468}]",Joseph Lopez,joseph.lopez1@gmail.com,652-70-5530,192.168.91.142,Male,1990-04-05,10044,69000.0,43.0,0.41000000000000003,15974.0,False,algorithm_risk_score,0.0,0.0,621,35
app_348,"[{'category': 'Fitness', 'amount': 199}, {'category': 'Travel', 'amount': 851}]",Michael Mitchell,michael.mitchell42@hotmail.com,100-94-8400,172.28.12.121,Male,1989-10-10,10080,55000.0,5.0,0.41000000000000003,13794.0,False,insufficient_credit_history,0.0,0.0,1050,36
app_309,"[{'category': 'Rent', 'amount': 626}, {'category': 'Transportation', 'amount': 688}]",Patricia Carter,patricia.carter75@gmail.com,392-82-4407,192.168.231.120,Female,1970-01-10,90250,63000.0,99.0,0.37,21769.0,True,,5.1,72000.0,1314,56
app_133,"[{'category': 'Insurance', 'amount': 319}, {'category': 'Dining', 'amount': 407}]",Frank Harris,frank.harris11@outlook.com,507-24-3732,172.25.65.254,Male,1989-07-10,10022,70000.0,72.0,0.16,33883.0,False,algorithm_risk_score,0.0,0.0,726,36
app_352,"[{'category': 'Transportation', 'amount': 227}, {'category': 'Healthcare', 'amount': 514}]",Deborah Miller,deborah.miller59@aol.com,514-30-3461,10.149.249.118,Female,1961-04-11,90209,104000.0,110.0,0.32,25826.0,True,,4.4,58000.0,741,64
app_080,"[{'category': 'Utilities', 'amount': 821}, {'category': 'Dining', 'amount': 314}]",James Torres,james.torres4@yahoo.com,951-51-4647,10.222.104.77,Male,1989-01-08,10075,111000.0,58.0,0.39,18138.0,True,,3.1,37000.0,1135,37
app_212,"[{'category': 'Rent', 'amount': 81}]",Amy Flores,amy.flores63@outlook.com,654-72-8456,172.17.7.50,Female,1997-09-12,90231,50000.0,25.0,0.2,20787.0,False,algorithm_risk_score,0.0,0.0,81,28
app_369,"[{'category': 'Dining', 'amount': 233}, {'category': 'Education', 'amount': 700}]",Patricia Nelson,patricia.nelson33@protonmail.com,557-16-4712,172.24.111.38,Female,1985-03-01,90259,102000.0,35.0,0.17,33980.0,False,algorithm_risk_score,0.0,0.0,933,41
app_167,"[{'category': 'Rent', 'amount': 465}, {'category': 'Utilities', 'amount': 641}]",Emma Williams,emma.williams6@icloud.com,406-96-8493,172.31.200.173,Female,1983-10-05,90214,105000.0,32.0,0.17,55374.0,False,algorithm_risk_score,0.0,0.0,1106,42
app_280,"[{'category': 'Utilities', 'amount': 275}]",Benjamin Thomas,benjamin.thomas34@icloud.com,235-66-1824,172.17.156.231,Male,1987-06-02,10046,57000.0,13.0,0.24,14728.0,False,insufficient_credit_history,0.0,0.0,275,38
app_441,"[{'category': 'Fitness', 'amount': 894}]",Katherine King,katherine.king17@outlook.com,568-34-9570,192.168.25.187,Female,1986-05-12,90268,110000.0,20.0,0.12,23593.0,True,,2.6,74000.0,894,39
app_232,"[{'category': 'Transportation', 'amount': 53}, {'category': 'Entertainment', 'amount': 185}, {'category': 'Travel', 'amount': 588}]",Susan Williams,susan.williams56@protonmail.com,990-44-6079,192.168.82.109,Female,1985-04-03,90218,129000.0,60.0,0.1,31187.0,True,,2.8,48000.0,826,40
app_169,"[{'category': 'Insurance', 'amount': 623}]",Brian Brown,brian.brown29@icloud.com,566-85-7180,10.10.233.92,Male,1986-06-12,10014,85000.0,45.0,0.11,61833.0,True,,4.4,28000.0,623,39
app_010,"[{'category': 'Utilities', 'amount': 866}]",Barbara Rodriguez,barbara.rodriguez33@icloud.com,624-58-7406,10.100.68.10,Female,1996-07-09,90250,44000.0,62.0,0.25,6824.0,False,algorithm_risk_score,0.0,0.0,866,29
app_115,"[{'category': 'Transportation', 'amount': 239}]",Maria Mitchell,maria.mitchell17@yahoo.com,799-16-1536,10.101.190.145,Female,1977-09-02,90294,123000.0,52.0,0.07,82257.0,True,,3.6,23000.0,239,48
app_065,"[{'category': 'Rent', 'amount': 841}, {'category': 'Healthcare', 'amount': 433}, {'category': 'Insurance', 'amount': 836}]",Amy Sanchez,amy.sanchez67@mail.com,684-77-5305,10.60.248.190,Female,1992-08-10,10070,109000.0,41.0,0.37,30645.0,False,algorithm_risk_score,0.0,0.0,2110,33
app_148,"[{'category': 'Shopping', 'amount': 887}, {'category': 'Insurance', 'amount': 719}]",Shirley Davis,shirley.davis62@icloud.com,384-17-7019,10.121.226.226,Female,1982-11-08,90261,122000.0,72.0,0.37,35207.0,True,,3.3,25000.0,1606,43
app_028,"[{'category': 'Fitness', 'amount': 145}]",Brenda Robinson,brenda.robinson48@mail.com,636-75-6279,172.21.129.236,Female,1985-06-09,10003,90000.0,60.0,0.2,38832.0,False,algorithm_risk_score,0.0,0.0,145,40
app_272,"[{'category': 'Dining', 'amount': 372}]",Rebecca Rivera,rebecca.rivera38@outlook.com,160-39-1506,10.75.157.206,Female,1982-02-03,90227,79000.0,70.0,0.41000000000000003,34365.0,False,algorithm_risk_score,0.0,0.0,372,44
app_279,"[{'category': 'Transportation', 'amount': 725}, {'category': 'Fitness', 'amount': 722}, {'category': 'Shopping', 'amount': 260}]",Joseph Scott,joseph.scott2@yahoo.com,448-37-9481,172.18.113.220,Male,1982-11-12,30012,75000.0,76.0,0.39,4974.0,True,,5.4,15000.0,1707,43
app_241,"[{'category': 'Utilities', 'amount': 485}, {'category': 'Groceries', 'amount': 503}, {'category': 'Shopping', 'amount': 89}]",Helen Anderson,helen.anderson61@mail.com,852-81-4532,192.168.33.162,Female,1964-10-07,90230,96000.0,103.0,0.44,31709.0,True,,5.8,18000.0,1077,61
app_054,"[{'category': 'Utilities', 'amount': 566}]",Jack Martin,jack.martin17@protonmail.com,944-51-9855,192.168.146.66,Male,1995-10-12,10043,86000.0,16.0,0.26,28260.0,True,,6.3,61000.0,566,30
app_015,"[{'category': 'Healthcare', 'amount': 101}, {'category': 'Fitness', 'amount': 698}, {'category': 'Education', 'amount': 470}]",Michael Lopez,michael.lopez67@yahoo.com,752-48-9134,192.168.244.94,Male,1985-09-11,10061,118000.0,96.0,0.4,76692.0,False,algorithm_risk_score,0.0,0.0,1269,40
app_093,"[{'category': 'Education', 'amount': 857}, {'category': 'Fitness', 'amount': 338}]",Margaret Allen,margaret.allen89@yahoo.com,343-37-9988,172.20.198.144,Female,1983-01-01,90230,137000.0,36.0,0.08,16139.0,True,,6.1,59000.0,1195,43
app_164,"[{'category': 'Utilities', 'amount': 218}, {'category': 'Travel', 'amount': 798}, {'category': 'Transportation', 'amount': 430}]",Brian Brown,brian.brown61@yahoo.com,586-29-4288,192.168.240.12,Male,1978-04-10,10004,101000.0,117.0,0.14,34221.0,True,,4.1,62000.0,1446,47
app_483,"[{'category': 'Entertainment', 'amount': 474}]",Michael Sanchez,michael.sanchez85@aol.com,871-12-1159,192.168.5.114,Male,1975-11-09,10047,99000.0,44.0,0.07,27423.0,True,,6.5,80000.0,474,50
app_008,"[{'category': 'Utilities', 'amount': 881}]",Karen Martin,karen.martin3@outlook.com,351-97-8739,10.234.196.212,Female,1993-12-07,90244,80000.0,24.0,0.43,22882.0,True,,3.6,51000.0,881,32
app_416,"[{'category': 'Entertainment', 'amount': 758}, {'category': 'Education', 'amount': 770}]",Samuel Davis,samuel.davis97@mail.com,119-56-1715,10.203.158.136,Male,1981-11-10,10066,100000.0,59.0,0.2,46148.0,False,algorithm_risk_score,0.0,0.0,1528,44
app_166,"[{'category': 'Insurance', 'amount': 685}]",Amy Harris,amy.harris92@mail.com,262-99-5707,192.168.208.6,Female,1978-03-08,90247,118000.0,54.0,0.13,35023.0,False,algorithm_risk_score,0.0,0.0,685,47
app_100,"[{'category': 'Utilities', 'amount': 184}, {'category': 'Dining', 'amount': 463}]",George Campbell,george.campbell53@outlook.com,438-48-3242,172.29.10.254,Male,1962-01-05,10001,79000.0,99.0,0.22,36346.0,True,,2.8,19000.0,647,64
app_107,"[{'category': 'Dining', 'amount': 581}, {'category': 'Rent', 'amount': 857}]",George Garcia,george.garcia38@outlook.com,565-34-4484,172.30.66.2,Male,1960-12-01,10087,91000.0,105.0,0.30000000000000004,37143.0,False,algorithm_risk_score,0.0,0.0,1438,65
app_288,"[{'category': 'Shopping', 'amount': 434}]",Susan Young,susan.young22@mail.com,159-19-1765,192.168.114.250,Female,1962-05-11,90252,88000.0,71.0,0.27,23054.0,True,,5.5,67000.0,434,63
app_149,"[{'category': 'Utilities', 'amount': 570}, {'category': 'Dining', 'amount': 376}]",Linda Nguyen,linda.nguyen56@protonmail.com,183-95-4538,10.251.107.38,Female,1978-10-11,90224,132000.0,72.0,0.2,48329.0,True,,5.1,29000.0,946,47
app_404,"[{'category': 'Insurance', 'amount': 841}, {'category': 'Fitness', 'amount': 325}]",Thomas Mitchell,thomas.mitchell21@aol.com,543-21-6993,172.30.59.137,Male,1985-10-11,10017,91000.0,31.0,0.32,2729.0,True,,5.9,69000.0,1166,40
app_162,"[{'category': 'Dining', 'amount': 303}, {'category': 'Entertainment', 'amount': 197}, {'category': 'Fitness', 'amount': 617}]",Eric Rodriguez,eric.rodriguez1@hotmail.com,122-21-5695,10.53.239.200,Male,1991-11-12,10066,55000.0,47.0,0.30000000000000004,10407.0,True,,2.7,71000.0,1117,34
app_484,"[{'category': 'Insurance', 'amount': 286}, {'category': 'Travel', 'amount': 693}]",Samuel Green,samuel.green79@gmail.com,497-67-8063,10.113.219.15,Male,1990-10-08,10001,69000.0,27.0,0.27,10775.0,True,,3.2,34000.0,979,35
app_052,"[{'category': 'Rent', 'amount': 328}]",Kenneth Campbell,kenneth.campbell16@protonmail.com,255-10-9021,192.168.174.67,Male,1965-05-05,10052,91000.0,119.0,0.11,38008.0,True,,3.0,22000.0,328,60
app_128,"[{'category': 'Fitness', 'amount': 199}]",Thomas Scott,thomas.scott58@mail.com,857-88-7567,10.5.184.205,Male,1985-02-04,10078,94000.0,81.0,0.4,73842.0,False,high_dti_ratio,0.0,0.0,199,41
app_016,"[{'category': 'Groceries', 'amount': 485}]",Gary Wilson,gary.wilson85@yahoo.com,780-24-9300,192.168.20.42,Male,1959-11-12,10091,123000.0,71.0,0.37,86599.0,False,algorithm_risk_score,0.0,0.0,485,66
app_151,"[{'category': 'Utilities', 'amount': 786}]",James Young,james.young39@outlook.com,582-51-4265,192.168.53.146,Male,1988-11-01,10019,124000.0,59.0,0.4,53225.0,False,algorithm_risk_score,0.0,0.0,786,37
app_382,"[{'category': 'Travel', 'amount': 838}, {'category': 'Insurance', 'amount': 415}, {'category': 'Utilities', 'amount': 545}]",Charles White,charles.white70@aol.com,160-88-7527,192.168.185.92,Male,1994-01-10,10091,102000.0,12.0,0.42,26781.0,True,,5.8,22000.0,1798,32
app_071,"[{'category': 'Utilities', 'amount': 719}, {'category': 'Rent', 'amount': 877}]",Debra Wilson,debra.wilson10@mail.com,542-49-2109,192.168.24.61,Female,1978-03-02,90208,134000.0,69.0,0.07,72178.0,True,,3.8,54000.0,1596,48
app_204,"[{'category': 'Travel', 'amount': 778}]",Jonathan Carter,mike johnson@gmail.com,972-81-1928,10.77.72.174,Male,1983-12-04,90256,81000.0,63.0,0.22,14018.0,False,algorithm_risk_score,0.0,0.0,778,42
app_109,"[{'category': 'Fitness', 'amount': 67}, {'category': 'Travel', 'amount': 772}, {'category': 'Rent', 'amount': 715}]",Anna Davis,anna.davis94@mail.com,239-98-1268,10.105.58.146,Female,2000-03-01,90278,47000.0,27.0,0.23,17289.0,True,,4.0,17000.0,1554,26
app_394,"[{'category': 'Groceries', 'amount': 395}, {'category': 'Dining', 'amount': 545}]",Karen Robinson,karen.robinson34@gmail.com,949-81-1792,192.168.66.232,Female,1998-02-09,90271,61000.0,54.0,0.16,16646.0,False,algorithm_risk_score,0.0,0.0,940,28
